Temperature (K)	Pressure (MPa)	"Density (l, mol/m3)"	"Volume (l, m3/mol)"	"Internal Energy (l, kJ/mol)"	"Enthalpy (l, kJ/mol)"	"Entropy (l, J/mol*K)"	"Cv (l, J/mol*K)"	"Cp (l, J/mol*K)"	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Phase
385	1								52729.85357	1.90E-05	8.445682503	8.464647092	25.91435225	66.765778	76.18431119	liquid
386	1								52686.90348	1.90E-05	8.521864363	8.540844412	26.11201077	66.6746433	76.21040764	liquid
387	1								52643.70736	1.90E-05	8.598072442	8.617068064	26.30922601	66.58371288	76.23697654	liquid
388	1								52600.26564	1.90E-05	8.674307213	8.693318524	26.50600148	66.4929913	76.26402313	liquid
389	1								52556.57868	1.90E-05	8.750569158	8.769596272	26.70234069	66.40248298	76.2915527	liquid
390	1								52512.64686	1.90E-05	8.826858761	8.845901792	26.89824713	66.31219218	76.31957055	liquid
391	1								52468.47048	1.91E-05	8.903176512	8.922235577	27.09372426	66.22212303	76.348082	liquid
392	1								52424.04983	1.91E-05	8.979522908	8.998598123	27.28877555	66.13227952	76.37709242	liquid
393	1								52379.38518	1.91E-05	9.05589845	9.07498993	27.48340445	66.0426655	76.4066072	liquid
394	1								52334.47675	1.91E-05	9.132303644	9.151411507	27.67761439	65.95328469	76.43663178	liquid
395	1								52289.32473	1.91E-05	9.208739003	9.227863365	27.8714088	65.86414068	76.46717161	liquid
396	1								52243.92931	1.91E-05	9.285205044	9.304346024	28.06479108	65.77523693	76.4982322	liquid
397	1								52198.29061	1.92E-05	9.36170229	9.380860005	28.25776464	65.6865768	76.52981911	liquid
398	1								52152.40874	1.92E-05	9.438231269	9.457405839	28.45033286	65.59816349	76.56193791	liquid
399	1								52106.2838	1.92E-05	9.514792517	9.53398406	28.64249912	65.51000011	76.59459426	liquid
400	1								52059.91581	1.92E-05	9.591386572	9.610595209	28.83426678	65.42208964	76.62779383	liquid
401	1								52013.30481	1.92E-05	9.668013981	9.687239831	29.0256392	65.33443496	76.66154236	liquid
402	1								51966.45078	1.92E-05	9.744675294	9.763918478	29.21661972	65.24703883	76.69584564	liquid
403	1								51919.35369	1.93E-05	9.821371069	9.840631709	29.40721168	65.1599039	76.73070953	liquid
404	1								51872.01346	1.93E-05	9.898101868	9.917380086	29.5974184	65.07303273	76.76613994	liquid
405	1								51824.43	1.93E-05	9.974868261	9.99416418	29.78724318	64.98642777	76.80214284	liquid
406	1								51776.60318	1.93E-05	10.05167082	10.07098456	29.97668934	64.90009136	76.83872427	liquid
407	1								51728.53285	1.93E-05	10.12851013	10.14784182	30.16576016	64.81402577	76.87589034	liquid
408	1								51680.21882	1.93E-05	10.20538678	10.22473654	30.35445893	64.72823314	76.91364723	liquid
409	1								51631.66087	1.94E-05	10.28230136	10.30166932	30.54278893	64.64271556	76.95200121	liquid
410	1								51582.85876	1.94E-05	10.35925446	10.37864075	30.73075343	64.55747499	76.9909586	liquid
411	1								51533.81221	1.94E-05	10.4362467	10.45565144	30.91835567	64.47251334	77.03052582	liquid
412	1								51484.52092	1.94E-05	10.51327869	10.532702	31.10559892	64.3878324	77.07070939	liquid
413	1								51434.98456	1.94E-05	10.59035104	10.60979306	31.29248641	64.30343392	77.11151589	liquid
414	1								51385.20276	1.95E-05	10.66746439	10.68692524	31.47902138	64.21931954	77.15295202	liquid
415	1								51335.17513	1.95E-05	10.74461936	10.76409918	31.66520706	64.13549083	77.19502456	liquid
416	1								51284.90124	1.95E-05	10.82181659	10.84131551	31.85104666	64.05194929	77.23774039	liquid
417	1								51234.38064	1.95E-05	10.89905673	10.91857488	32.03654342	63.96869634	77.28110651	liquid
418	1								51183.61285	1.95E-05	10.97634044	10.99587794	32.22170052	63.88573335	77.32513	liquid
419	1								51132.59736	1.96E-05	11.05366836	11.07322536	32.40652118	63.80306161	77.36981809	liquid
420	1								51081.33361	1.96E-05	11.13104118	11.1506178	32.59100859	63.72068233	77.41517809	liquid
421	1								51029.82103	1.96E-05	11.20845956	11.22805594	32.77516595	63.63859669	77.46121746	liquid
422	1								50978.05901	1.96E-05	11.28592418	11.30554046	32.95899644	63.55680578	77.50794377	liquid
423	1								50926.04692	1.96E-05	11.36343574	11.38307206	33.14250324	63.47531064	77.55536472	liquid
424	1								50873.78409	1.97E-05	11.44099494	11.46065143	33.32568953	63.39411227	77.60348814	liquid
425	1								50821.26981	1.97E-05	11.51860247	11.53827927	33.50855848	63.3132116	77.652322	liquid
426	1								50768.50335	1.97E-05	11.59625906	11.61595631	33.69111328	63.2326095	77.70187443	liquid
427	1								50715.48394	1.97E-05	11.67396542	11.69368326	33.87335707	63.15230682	77.75215369	liquid
428	1								50662.2108	1.97E-05	11.75172229	11.77146086	34.05529304	63.07230433	77.80316819	liquid
429	1								50608.68308	1.98E-05	11.82953039	11.84928985	34.23692433	62.99260276	77.85492652	liquid
430	1								50554.89992	1.98E-05	11.90739049	11.92717097	34.41825412	62.91320282	77.90743741	liquid
431	1								50500.86043	1.98E-05	11.98530334	12.00510498	34.59928556	62.83410516	77.96070976	liquid
432	1								50446.56368	1.98E-05	12.06326969	12.08309264	34.78002181	62.75531038	78.01475266	liquid
433	1								50392.00869	1.98E-05	12.14129033	12.16113474	34.96046602	62.67681907	78.06957536	liquid
434	1								50337.19447	1.99E-05	12.21936603	12.23923206	35.14062136	62.59863175	78.12518732	liquid
435	1								50282.11999	1.99E-05	12.2974976	12.31738538	35.32049098	62.52074893	78.18159817	liquid
436	1								50226.78417	1.99E-05	12.37568583	12.39559552	35.50007804	62.44317108	78.23881775	liquid
437	1								50171.18592	1.99E-05	12.45393153	12.47386329	35.67938569	62.36589864	78.29685609	liquid
438	1								50115.32408	2.00E-05	12.53223554	12.55218951	35.8584171	62.28893202	78.35572343	liquid
439	1								50059.19748	2.00E-05	12.61059867	12.63057502	36.03717544	62.21227161	78.41543026	liquid
440	1								50002.80491	2.00E-05	12.68902178	12.70902066	36.21566386	62.13591777	78.47598724	liquid
441	1								49946.14511	2.00E-05	12.76750572	12.78752728	36.39388553	62.05987082	78.5374053	liquid
442	1								49889.21679	2.00E-05	12.84605135	12.86609576	36.57184362	61.98413109	78.5996956	liquid
443	1								49832.01862	2.01E-05	12.92465955	12.94472697	36.74954132	61.90869887	78.66286954	liquid
444	1								49774.54924	2.01E-05	13.00333121	13.0234218	36.92698179	61.83357443	78.72693876	liquid
445	1								49716.80723	2.01E-05	13.08206722	13.10218115	37.10416823	61.75875803	78.7919152	liquid
446	1								49658.79115	2.01E-05	13.16086851	13.18100593	37.28110382	61.68424992	78.85781102	liquid
447	1								49600.49951	2.02E-05	13.23973599	13.25989708	37.45779177	61.61005032	78.92463868	liquid
448	1								49541.93077	2.02E-05	13.3186706	13.33885552	37.63423527	61.53615946	78.99241095	liquid
449	1								49483.08336	2.02E-05	13.39767329	13.41788222	37.81043753	61.46257755	79.06114085	liquid
450	1								49423.95567	2.02E-05	13.47674503	13.49697813	37.98640178	61.38930479	79.13084174	liquid
451	1								49364.54603	2.03E-05	13.55588678	13.57614423	38.16213124	61.31634137	79.20152727	liquid
452	1								49304.85274	2.03E-05	13.63509954	13.65538152	38.33762914	61.24368748	79.27321143	liquid
453	1								49244.87406	2.03E-05	13.71438431	13.73469099	38.51289874	61.17134331	79.34590854	liquid
453.0280079	1								49243.19005	2.03E-05	13.71660596	13.73691333	38.51780442	61.16932157	79.34795935	liquid
453.0280079	1								285.5933523	0.003501482	46.5288737	50.03035576	118.6308257	34.71776191	48.84615519	vapor
454	1								284.7337522	0.003512053	46.56556641	50.07761931	118.7350422	34.43559719	48.41073842	vapor
455	1								283.8596876	0.003522867	46.6029537	50.12582096	118.8410966	34.16982509	47.99818865	vapor
456	1								282.9956158	0.003533624	46.64000263	50.17362627	118.9460481	33.92604561	47.61741816	vapor
457	1								282.1411188	0.003544326	46.67673954	50.22106517	119.049967	33.70172679	47.2647985	vapor
458	1								281.2958187	0.003554976	46.71318779	50.2681642	119.1529159	33.49466239	46.93717567	vapor
459	1								280.4593719	0.003565579	46.7493681	50.31494694	119.2549504	33.30292799	46.63180405	vapor
460	1								279.6314648	0.003576135	46.78529895	50.36143442	119.3561202	33.12484322	46.34629	vapor
461	1								278.8118107	0.003586649	46.8209968	50.40764544	119.45647	32.95893919	46.07854379	vapor
462	1								278.0001459	0.00359712	46.85647641	50.45359682	119.5560398	32.8039305	45.82673834	vapor
463	1								277.1962271	0.003607553	46.89175098	50.49930369	119.6548656	32.65869109	45.58927387	vapor
464	1								276.3998293	0.003617947	46.92683244	50.54477968	119.7529801	32.52223331	45.36474757	vapor
465	1								275.6107436	0.003628306	46.9617315	50.59003709	119.8504127	32.39368989	45.15192747	vapor
466	1								274.8287751	0.003638629	46.9964579	50.63508707	119.9471904	32.27229836	44.94972994	vapor
467	1								274.0537418	0.003648919	47.03102042	50.67993977	120.0433378	32.15738749	44.75720034	vapor
468	1								273.285473	0.003659177	47.06542711	50.72460441	120.1388773	32.04836563	44.57349625	vapor
469	1								272.523808	0.003669404	47.09968528	50.76908945	120.2338294	31.94471048	44.39787302	vapor
470	1								271.7685955	0.003679601	47.13380162	50.81340263	120.3282133	31.84596034	44.22967124	vapor
471	1								271.0196922	0.003689769	47.16778229	50.85755107	120.4220464	31.75170646	44.06830591	vapor
472	1								270.2769624	0.003699908	47.20163296	50.90154135	120.5153451	31.66158632	43.91325706	vapor
