Temperature (K)	Pressure (MPa)	"Density (l, mol/m3)"	"Volume (l, m3/mol)"	"Internal Energy (l, kJ/mol)"	"Enthalpy (l, kJ/mol)"	"Entropy (l, J/mol*K)"	"Cv (l, J/mol*K)"	"Cp (l, J/mol*K)"	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
413	2								51465	1.94E-05	10.583	10.621	31.274	64.285	77.058	1490.7	-0.15194	197.19	0.68437	liquid
414	2								51415	1.94E-05	10.66	10.699	31.46	64.201	77.099	1488.8	-0.15117	195.68	0.68428	liquid
415	2								51365	1.95E-05	10.737	10.776	31.646	64.117	77.141	1486.8	-0.15039	194.19	0.68419	liquid
416	2								51315	1.95E-05	10.814	10.853	31.832	64.034	77.183	1484.9	-0.14961	192.73	0.68408	liquid
417	2								51265	1.95E-05	10.891	10.93	32.017	63.951	77.226	1482.8	-0.14882	191.28	0.68397	liquid
418	2								51214	1.95E-05	10.968	11.007	32.202	63.868	77.27	1480.8	-0.14803	189.86	0.68384	liquid
419	2								51163	1.95E-05	11.046	11.085	32.387	63.785	77.314	1478.8	-0.14723	188.46	0.68371	liquid
420	2								51112	1.96E-05	11.123	11.162	32.571	63.703	77.359	1476.7	-0.14642	187.08	0.68357	liquid
421	2								51061	1.96E-05	11.2	11.239	32.755	63.621	77.404	1474.6	-0.1456	185.71	0.68342	liquid
422	2								51009	1.96E-05	11.278	11.317	32.939	63.54	77.45	1472.5	-0.14478	184.37	0.68326	liquid
423	2								50957	1.96E-05	11.355	11.394	33.122	63.458	77.497	1470.3	-0.14395	183.04	0.6831	liquid
424	2								50905	1.96E-05	11.432	11.472	33.305	63.377	77.545	1468.1	-0.14311	181.74	0.68292	liquid
425	2								50853	1.97E-05	11.51	11.549	33.488	63.296	77.593	1465.9	-0.14227	180.45	0.68274	liquid
426	2								50800	1.97E-05	11.588	11.627	33.671	63.216	77.642	1463.7	-0.14142	179.18	0.68255	liquid
427	2								50748	1.97E-05	11.665	11.705	33.853	63.136	77.692	1461.5	-0.14056	177.93	0.68235	liquid
428	2								50694	1.97E-05	11.743	11.782	34.035	63.056	77.742	1459.2	-0.13969	176.69	0.68214	liquid
429	2								50641	1.97E-05	11.821	11.86	34.216	62.976	77.793	1456.9	-0.13881	175.47	0.68192	liquid
430	2								50587	1.98E-05	11.898	11.938	34.397	62.897	77.845	1454.6	-0.13793	174.27	0.6817	liquid
431	2								50534	1.98E-05	11.976	12.016	34.578	62.818	77.898	1452.3	-0.13704	173.08	0.68147	liquid
432	2								50479	1.98E-05	12.054	12.094	34.759	62.74	77.951	1449.9	-0.13614	171.91	0.68122	liquid
433	2								50425	1.98E-05	12.132	12.172	34.939	62.661	78.005	1447.6	-0.13523	170.76	0.68097	liquid
